0 0 1
0 1 000101
1 1 01
0 2 00000111
1 2 000100
2 2 001
0 3 000000111
1 3 00000110
2 3 0000101
3 3 00011
0 4 0000000111
1 4 000000110
2 4 00000101
3 4 000011
0 5 00000000111
1 5 0000000110
2 5 000000101
3 5 0000100
0 6 0000000001111
1 6 00000000110
2 6 0000000101
3 6 00000100
0 7 0000000001011
1 7 0000000001110
2 7 00000000101
3 7 000000100
0 8 0000000001000
1 8 0000000001010
2 8 0000000001101
3 8 0000000100
0 9 00000000001111
1 9 00000000001110
2 9 0000000001001
3 9 00000000100
0 10 00000000001011
1 10 00000000001010
2 10 00000000001101
3 10 0000000001100
0 11 000000000001111
1 11 000000000001110
2 11 00000000001001
3 11 00000000001100
0 12 000000000001011
1 12 000000000001010
2 12 000000000001101
3 12 00000000001000
0 13 0000000000001111
1 13 000000000000001
2 13 000000000001001
3 13 000000000001100
0 14 0000000000001011
1 14 0000000000001110
2 14 0000000000001101
3 14 000000000001000
0 15 0000000000000111
1 15 0000000000001010
2 15 0000000000001001
3 15 0000000000001100
0 16 0000000000000100
1 16 0000000000000110
2 16 0000000000000101
3 16 0000000000001000
