0 0 1111
0 1 001111
1 1 1110
0 2 001011
1 2 01111
2 2 1101
0 3 001000
1 3 01100
2 3 01110
3 3 1100
0 4 0001111
1 4 01010
2 4 01011
3 4 1011
0 5 0001011
1 5 01000
2 5 01001
3 5 1010
0 6 0001001
1 6 001110
2 6 001101
3 6 1001
0 7 0001000
1 7 001010
2 7 001001
3 7 1000
0 8 00001111
1 8 0001110
2 8 0001101
3 8 01101
0 9 00001011
1 9 00001110
2 9 0001010
3 9 001100
0 10 000001111
1 10 00001010
2 10 00001101
3 10 0001100
0 11 000001011
1 11 000001110
2 11 00001001
3 11 00001100
0 12 000001000
1 12 000001010
2 12 000001101
3 12 00001000
0 13 0000001101
1 13 000000111
2 13 000001001
3 13 000001100
0 14 0000001001
1 14 0000001100
2 14 0000001011
3 14 0000001010
0 15 0000000101
1 15 0000001000
2 15 0000000111
3 15 0000000110
0 16 0000000001
1 16 0000000100
2 16 0000000011
3 16 0000000010
