0 0 11
0 1 001011
1 1 10
0 2 000111
1 2 00111
2 2 011
0 3 0000111
1 3 001010
2 3 001001
3 3 0101
0 4 00000111
1 4 000110
2 4 000101
3 4 0100
0 5 00000100
1 5 0000110
2 5 0000101
3 5 00110
0 6 000000111
1 6 00000110
2 6 00000101
3 6 001000
0 7 00000001111
1 7 000000110
2 7 000000101
3 7 000100
0 8 00000001011
1 8 00000001110
2 8 00000001101
3 8 0000100
0 9 000000001111
1 9 00000001010
2 9 00000001001
3 9 000000100
0 10 000000001011
1 10 000000001110
2 10 000000001101
3 10 00000001100
0 11 000000001000
1 11 000000001010
2 11 000000001001
3 11 00000001000
0 12 0000000001111
1 12 0000000001110
2 12 0000000001101
3 12 000000001100
0 13 0000000001011
1 13 0000000001010
2 13 0000000001001
3 13 0000000001100
0 14 0000000000111
1 14 00000000001011
2 14 0000000000110
3 14 0000000001000
0 15 00000000001001
1 15 00000000001000
2 15 00000000001010
3 15 0000000000001
0 16 00000000000111
1 16 00000000000110
2 16 00000000000101
3 16 00000000000100 
